w1	w2	over_ft23	wn_wup
abacılık	ablacılık	0.8235294222831726	0.22222222
abacılık	alacabalıkçıl	0.529411792755127	0.25
abacılık	başeczacılık	0.7058823704719543	0.21052632
abacılık	fırçacılık	0.6470588445663452	0.17391305
abacılık	noktacılık	0.6470588445663452	0.22222222
abacılık	oğlancılık	0.529411792755127	0.22222222
abacılık	salamuracılık	0.6470588445663452	0.18181819
abacılık	sübyancılık	0.529411792755127	0.21052632
abacılık	çalılık	0.5	0.22222222
abadan	badana	0.5384615659713745	0.22222222
abadan	badanacı	0.5384615659713745	0.1904762
abadan	labada	0.5384615659713745	0.1904762
abanoz	abanık	0.5384615659713745	0.22222222
abanoz	çağanoz	0.5384615659713745	0.1904762
abanozgiller	abanık	0.5384615659713745	0.21052632
abanık	alabalık	0.5384615659713745	0.25
abanık	anızlık	0.5384615659713745	0.22222222
abanık	devetabanı	0.5384615659713745	0.2
abartmacılık	ablacılık	0.7368420958518982	0.23529412
abartmacılık	acıbalık	0.5882353186607361	0.24
abartmacılık	acımık	0.5384615659713745	0.18181819
abartmacılık	adacık	0.5384615659713745	0.25
abartmacılık	alabalık	0.5625	0.25
abartmacılık	arabacı	0.5333333611488342	0.2
abartmacılık	babacı	0.5	0.2
abartmacılık	babacık	0.6428571343421936	0.1904762
abartmacılık	elmacık	0.5333333611488342	0.23529412
abartmacılık	fırçacılık	0.523809552192688	0.18181819
abartmacılık	kartlık	0.5333333611488342	0.1904762
abartmacılık	kiracılık	0.5789473652839661	0.2
abartmacılık	mazılık	0.5333333611488342	0.23529412
abartmacılık	noktacılık	0.523809552192688	0.23529412
abartmacılık	çalılık	0.5	0.23529412
abartı	arabağlantı	0.6153846383094788	0.18181819
abartı	bartın	0.5384615659713745	0.18181819
abartı	bartınlı	0.6153846383094788	0.14814815
abartı	kabartıcı	0.7692307829856873	0.16
abartı	ortabatı	0.5384615659713745	0.1904762
abartıcı	tartıcılık	0.529411792755127	0.2
abartıcılık	ablacılık	0.6315789222717285	0.23529412
abartıcılık	alabalık	0.5625	0.25
abartıcılık	babacık	0.5	0.1904762
abartıcılık	bartın	0.5384615659713745	0.22222222
abartıcılık	kabartıcı	0.6842105388641357	0.1904762
abartıcılık	kartlık	0.5333333611488342	0.1904762
abartıcılık	tartıcı	0.6000000238418579	0.2
abartıcılık	çalılık	0.5	0.23529412
abazanlık	baldıranlık	0.5263158082962036	0.23529412
abazanlık	samanlık	0.529411792755127	0.23529412
abdallık	alabalık	0.5	0.23076923
abdallık	altlık	0.5384615659713745	0.21052632
abdallık	alınlık	0.5	0.21052632
abdallık	kumsallık	0.529411792755127	0.22222222
abdallık	odalık	0.6153846383094788	0.16666667
abdallık	portakallık	0.529411792755127	0.18181819
abdallık	pırnallık	0.529411792755127	0.2
abdallık	şıllık	0.5384615659713745	0.16666667
abdestbozan	destan	0.6153846383094788	0.2
abdestlilik	akrilik	0.5333333611488342	0.25
abdestlilik	testilik	0.5882353186607361	0.23529412
abdestsizlik	cevizlik	0.529411792755127	0.23529412
abdestsizlik	denizlik	0.5882353186607361	0.25
abdestsizlik	dizlik	0.692307710647583	0.25
aberasyon	adisyon	0.5333333611488342	0.2
aberasyon	akreditasyon	0.5263158082962036	0.1904762
aberasyon	aktivasyon	0.5263158082962036	0.23529412
aberasyon	aliterasyon	0.7368420958518982	0.25
aberasyon	ampütasyon	0.5263158082962036	0.22222222
aberasyon	animasyon	0.5263158082962036	0.22222222
aberasyon	arabizasyon	0.6315789222717285	0.23529412
aberasyon	aşırmasyon	0.5263158082962036	0.1904762
aberasyon	dejenerasyon	0.6842105388641357	0.25
aberasyon	deklarasyon	0.5789473652839661	0.22222222
aberasyon	demoralizasyon	0.5263158082962036	0.25
aberasyon	derogasyon	0.5263158082962036	0.22222222
aberasyon	determinasyon	0.5263158082962036	0.2
aberasyon	entegrasyon	0.5789473652839661	0.25
aberasyon	figürasyon	0.5789473652839661	0.21052632
aberasyon	iterasyon	0.6842105388641357	0.22222222
aberasyon	konfederasyon	0.6842105388641357	0.23529412
aberasyon	korporasyon	0.5789473652839661	0.25
aberasyon	koterizasyon	0.5263158082962036	0.22222222
aberasyon	mutasyon	0.529411792755127	0.25
aberasyon	mütasyon	0.529411792755127	0.25
aberasyon	nosyon	0.5384615659713745	0.25
aberasyon	nötralizasyon	0.5263158082962036	0.23529412
aberasyon	operasyon	0.6842105388641357	0.25
aberasyon	prefabrikasyon	0.5263158082962036	0.21052632
aberasyon	rehabilitasyon	0.5263158082962036	0.18181819
aberasyon	restorasyon	0.5789473652839661	0.22222222
aberasyon	rezervasyon	0.5263158082962036	0.23529412
aberasyon	selfdeterminasyon	0.5263158082962036	0.22222222
aberasyon	sibernasyon	0.6315789222717285	0.21052632
aberasyon	stabilizasyon	0.5263158082962036	0.23529412
aberasyon	vibrasyon	0.5789473652839661	0.23529412
abican	arabistan	0.5384615659713745	0.25
abideleşme	asitleşme	0.5263158082962036	0.2
abideleşme	iyileşme	0.529411792755127	0.21052632
abideleşme	kondenseleşme	0.5714285969734192	0.18181819
ablacı	alacaklandırıcı	0.5384615659713745	0.21052632
ablacılık	acıbalık	0.529411792755127	0.16666667
ablacılık	acılık	0.9230769276618958	0.22222222
ablacılık	adcılık	0.6666666865348816	0.22222222
ablacılık	aktarmacılık	0.6315789222717285	0.22222222
ablacılık	aktarıcılık	0.5263158082962036	0.22222222
ablacılık	akılcılık	0.5555555820465088	0.22222222
ablacılık	alabalık	0.5	0.17391305
ablacılık	alacalık	0.5625	0.23529412
ablacılık	algıcılık	0.5263158082962036	0.23529412
ablacılık	almancılık	0.5263158082962036	0.23529412
ablacılık	alçıcılık	0.5263158082962036	0.22222222
ablacılık	alımcılık	0.5555555820465088	0.22222222
ablacılık	ambalajcılık	0.5789473652839661	0.22222222
ablacılık	ambarcılık	0.5263158082962036	0.22222222
ablacılık	anacık	0.5384615659713745	0.25
ablacılık	anahtarcılık	0.5263158082962036	0.22222222
ablacılık	anamalcılık	0.5263158082962036	0.1904762
ablacılık	anayasacılık	0.6315789222717285	0.22222222
ablacılık	anlatımcılık	0.5789473652839661	0.25
ablacılık	antikacılık	0.6315789222717285	0.22222222
ablacılık	arabacılık	0.6842105388641357	0.22222222
ablacılık	araştırıcılık	0.5263158082962036	0.23529412
ablacılık	arpacılık	0.6315789222717285	0.22222222
ablacılık	arıcılık	0.5882353186607361	0.2
ablacılık	arıtıcılık	0.5263158082962036	0.23529412
ablacılık	askıcılık	0.5263158082962036	0.22222222
ablacılık	atacılık	0.7058823704719543	0.23529412
ablacılık	atçılık	0.5333333611488342	0.22222222
ablacılık	atıcılık	0.5882353186607361	0.23529412
ablacılık	atımcılık	0.5263158082962036	0.22222222
ablacılık	ayakkabıcılık	0.5789473652839661	0.22222222
ablacılık	ayartıcılık	0.5263158082962036	0.2
ablacılık	aynacılık	0.6315789222717285	0.22222222
ablacılık	ayrancılık	0.5263158082962036	0.22222222
ablacılık	ayıcılık	0.5882353186607361	0.22222222
