w1	w2	editsim
aalborg	alborg	0.8571428571428572
abadan	abradant	0.75
abadan	ibadan	0.8333333333333334
abampere	ampere	0.75
abampere	tampere	0.75
abarticulation	articulatio	0.7857142857142857
abarticulation	articulation	0.8571428571428572
abasement	amazement	0.7777777777777778
abasement	amusement	0.7777777777777778
abasement	casement	0.7777777777777778
abasement	easement	0.7777777777777778
abasement	debasement	0.8
abasement	abashment	0.8888888888888888
abasement	abatement	0.8888888888888888
abasement	basement	0.8888888888888888
abashment	abatement	0.7777777777777778
abashment	basement	0.7777777777777778
abatement	abetment	0.7777777777777778
abatement	abutment	0.7777777777777778
abatement	amazement	0.7777777777777778
abatement	basement	0.7777777777777778
abatement	statement	0.7777777777777778
abatis	abattis	0.8571428571428572
abator	abattoir	0.75
abattis	abattoir	0.75
abattoir	abettor	0.75
abbreviation	alleviation	0.75
abbreviation	appreciation	0.75
abbreviation	abbreviator	0.8333333333333334
abcoulomb	coulomb	0.7777777777777778
abdication	adjudication	0.75
abdication	claudication	0.75
abdication	abdicator	0.8
abdication	abduction	0.8
abdication	addiction	0.8
abdication	dedication	0.8
abdication	indication	0.8
abdication	medication	0.8
abdication	fabrication	0.8181818181818181
abdicator	abductor	0.7777777777777778
abdicator	indicator	0.7777777777777778
abdicator	fabricator	0.8
abdominocentesis	abdominousness	0.75
abducens	abducent	0.875
abduction	abductor	0.7777777777777778
abduction	abjection	0.7777777777777778
abduction	ablution	0.7777777777777778
abduction	abruption	0.7777777777777778
abduction	addiction	0.7777777777777778
abduction	auction	0.7777777777777778
abduction	deduction	0.7777777777777778
abduction	induction	0.7777777777777778
abduction	reduction	0.7777777777777778
abduction	seduction	0.7777777777777778
abduction	manduction	0.8
abduction	subduction	0.8
abduction	adduction	0.8888888888888888
abductor	inductor	0.75
abductor	adductor	0.875
abecedarian	abecedarius	0.8181818181818181
abelia	gambelia	0.75
abelia	abulia	0.8333333333333334
abelia	amelia	0.8333333333333334
abenaki	abnaki	0.8571428571428572
aberdeen	bardeen	0.75
aberrance	aberrant	0.7777777777777778
aberrance	abeyance	0.7777777777777778
aberrance	aberrancy	0.8888888888888888
aberrancy	aberrant	0.7777777777777778
aberrancy	errancy	0.7777777777777778
aberrancy	inerrancy	0.7777777777777778
aberration	abjuration	0.8
aberration	aeration	0.8
aberration	serration	0.8
abetalipoproteinemia	hyperlipoproteinemia	0.75
