w1	w2	editsim
abacılık	ablacılık	0.8888888888888888
abacılık	acılık	0.75
abacılık	adcılık	0.75
abacılık	akıcılık	0.75
abacılık	alacalık	0.75
abacılık	alaycılık	0.7777777777777778
abacılık	alıcılık	0.75
abacılık	ambarcılık	0.8
abacılık	arabacılık	0.8
abacılık	aracılık	0.875
abacılık	arpacılık	0.7777777777777778
abacılık	arıcılık	0.75
abacılık	atacılık	0.875
abacılık	atıcılık	0.75
abacılık	avcılık	0.75
abacılık	aynacılık	0.7777777777777778
abacılık	ayıcılık	0.75
abacılık	açmacılık	0.7777777777777778
abacılık	ağcılık	0.75
abacılık	aşağılık	0.75
abacılık	aşıcılık	0.75
abacılık	babacılık	0.8888888888888888
abacılık	balcılık	0.75
abacılık	barcılık	0.75
abacılık	bağcılık	0.75
abacılık	cakacılık	0.7777777777777778
abacılık	dadacılık	0.7777777777777778
abacılık	hacılık	0.75
abacılık	havacılık	0.7777777777777778
abacılık	kamacılık	0.7777777777777778
abacılık	karacılık	0.7777777777777778
abacılık	lakacılık	0.7777777777777778
abacılık	lamacılık	0.7777777777777778
abacılık	lapacılık	0.7777777777777778
abacılık	maşacılık	0.7777777777777778
abacılık	odacılık	0.75
abacılık	otacılık	0.75
abacılık	oyacılık	0.75
abacılık	paçacılık	0.7777777777777778
abacılık	sayacılık	0.7777777777777778
abacılık	sobacılık	0.7777777777777778
abacılık	takacılık	0.7777777777777778
abacılık	yabancılık	0.8
abacılık	yamacılık	0.7777777777777778
abacılık	çapacılık	0.7777777777777778
abacılık	şakacılık	0.7777777777777778
abajur	abajurcu	0.75
abanozgiller	ananasgiller	0.75
abanozgiller	maydanozgiller	0.7857142857142857
abanık	tabanlık	0.75
abanık	yabanlık	0.75
abanık	şabanlık	0.75
abartma	abartmacı	0.7777777777777778
abartma	aktartma	0.75
abartma	apartman	0.75
abartma	ayartma	0.8571428571428572
abartma	kabartma	0.875
abartma	karartma	0.75
abartmacı	abartmacılık	0.75
abartmacı	abartıcı	0.7777777777777778
abartmacılık	abartıcılık	0.8333333333333334
abartmacılık	aktarmacılık	0.75
abartmacılık	avantacılık	0.75
abartmacılık	ayartıcılık	0.75
abartmacılık	aşırmacılık	0.75
abartmacılık	baltacılık	0.75
abartmacılık	basmacılık	0.75
abartmacılık	dayatmacılık	0.75
abartmacılık	çatmacılık	0.75
abartı	abartıcı	0.75
abartı	ayartı	0.8333333333333334
abartı	ağartı	0.8333333333333334
abartı	kabartı	0.8571428571428572
abartıcı	abartılış	0.7777777777777778
abartıcı	ayartıcı	0.875
abartıcı	ağartıcı	0.875
abartıcı	batıcı	0.75
abartıcı	kabartıcı	0.8888888888888888
abartıcı	tartıcı	0.75
abartıcı	yaşartıcı	0.7777777777777778
abartıcılık	ayartıcılık	0.9090909090909091
abartıcılık	tartıcılık	0.8181818181818181
abartıcılık	şaşırtıcılık	0.75
abartılış	ağartılış	0.8888888888888888
abazanlık	afacanlık	0.7777777777777778
abazanlık	avadanlık	0.7777777777777778
abazanlık	babacanlık	0.8
abazanlık	bakanlık	0.7777777777777778
abazanlık	lafazanlık	0.8
abdallık	adaklık	0.75
abdallık	adamlık	0.75
abdallık	adaylık	0.75
abdallık	adaşlık	0.75
abdallık	aptallık	0.75
abdallık	ardıllık	0.75
abdallık	ağdalık	0.75
abdallık	ağdalılık	0.7777777777777778
abdallık	ballık	0.75
abdallık	hardallık	0.7777777777777778
abdallık	vandallık	0.7777777777777778
abdestlik	abdestlilik	0.8181818181818181
abdestlik	abdestsiz	0.7777777777777778
abdestlik	abdestsizlik	0.75
abdestlilik	abdestsizlik	0.8333333333333334
abdestsiz	abdestsizlik	0.75
abdestsizlik	dertsizlik	0.75
abdiaciz	abdiâciz	0.875
aberasyon	iterasyon	0.7777777777777778
aberasyon	liberasyon	0.8
aberasyon	operasyon	0.7777777777777778
ablacı	kabalacı	0.75
ablacı	tabelacı	0.75
ablacı	tablacı	0.8571428571428572
ablacılık	alacalık	0.7777777777777778
ablacılık	alaycılık	0.7777777777777778
ablacılık	alıcılık	0.7777777777777778
ablacılık	ambalajcılık	0.75
ablacılık	aracılık	0.7777777777777778
ablacılık	arpacılık	0.7777777777777778
ablacılık	atacılık	0.7777777777777778
ablacılık	aynacılık	0.7777777777777778
ablacılık	açmacılık	0.7777777777777778
ablacılık	babacılık	0.7777777777777778
ablacılık	cilacılık	0.7777777777777778
ablacılık	kabalacılık	0.8181818181818181
ablacılık	kolacılık	0.7777777777777778
ablacılık	tabelacılık	0.8181818181818181
ablacılık	taklacılık	0.8
ablacılık	yaylacılık	0.8
absent	apsent	0.8333333333333334
abstraksiyon	abstraksiyonizm	0.8
abstraksiyon	atraksiyon	0.8333333333333334
abstraksiyon	kontraksiyon	0.75
abstraksiyon	obstrüksiyon	0.8333333333333334
abstraksiyon	traksiyon	0.75
abukluk	kavukluk	0.75
abukluk	pabuçluk	0.75
abukluk	sabunluk	0.75
abukluk	tabutluk	0.75
abukluk	yamukluk	0.75
abukluk	çabukluk	0.875
abukluk	çubukluk	0.75
acarina	algarina	0.75
acemilik	ademcilik	0.7777777777777778
acemilik	alemcilik	0.7777777777777778
acemilik	alevilik	0.75
acemilik	gemilik	0.75
aciliyet	acziyet	0.75
aciliyet	aidiyet	0.75
aciliyet	cahiliyet	0.7777777777777778
aciliyet	kabiliyet	0.7777777777777778
acizlik	azizlik	0.8571428571428572
acizlik	tacizlik	0.875
acizlik	âcizlik	0.8571428571428572
acyoculuk	mayoculuk	0.7777777777777778
acyoculuk	radyoculuk	0.8
acıbakla	akbakla	0.75
acıbalık	acılık	0.75
acıbalık	akbalık	0.75
acıbalık	alabalık	0.75
acıbalık	arabalık	0.75
acıbalık	sarıbalık	0.7777777777777778
acıkara	yanıkara	0.75
acılık	acımık	0.8333333333333334
acılık	adcılık	0.8571428571428572
acılık	akıcılık	0.75
acılık	alıcılık	0.75
acılık	anılık	0.8333333333333334
acılık	aracılık	0.75
acılık	arıcılık	0.75
acılık	arılık	0.8333333333333334
acılık	atacılık	0.75
acılık	atıcılık	0.75
acılık	avcılık	0.8571428571428572
acılık	ayıcılık	0.75
acılık	ayılık	0.8333333333333334
acılık	ağcılık	0.8571428571428572
acılık	aşıcılık	0.75
acılık	balcılık	0.75
acılık	barcılık	0.75
acılık	bağcılık	0.75
acılık	camcılık	0.75
acılık	cazcılık	0.75
acılık	dağcılık	0.75
acılık	falcılık	0.75
acılık	hacılık	0.8571428571428572
acılık	hancılık	0.75
acılık	hazcılık	0.75
acılık	malcılık	0.75
acılık	odacılık	0.75
acılık	otacılık	0.75
acılık	oyacılık	0.75
acılık	salcılık	0.75
acılık	savcılık	0.75
acılık	sazcılık	0.75
acılık	sağcılık	0.75
acılık	yağcılık	0.75
acılık	zağcılık	0.75
acılık	çancılık	0.75
acılık	çaycılık	0.75
acımasızlık	alımsızlık	0.8181818181818181
acımasızlık	çatışmasızlık	0.7692307692307692
acınma	alınma	0.8333333333333334
acınma	arınma	0.8333333333333334
acınma	açınma	0.8333333333333334
acınma	aşınma	0.8333333333333334
acıyonca	sarıyonca	0.7777777777777778
acıyıcı	taşıyıcı	0.75
acıçiğdem	sarıçiğdem	0.8
adabalığı	akyabalığı	0.8
adabalığı	atbalığı	0.7777777777777778
adabalığı	aybalığı	0.7777777777777778
adabalığı	ayıbalığı	0.7777777777777778
adabalığı	kayabalığı	0.8
adabalığı	çaçabalığı	0.8
adacık	adamcık	0.8571428571428572
adacık	anacık	0.8333333333333334
adacık	bardacık	0.75
adacık	odacık	0.8333333333333334
adaklık	adamlık	0.8571428571428572
adaklık	adaylık	0.8571428571428572
adaklık	adaşlık	0.8571428571428572
adaklık	ahmaklık	0.75
adaklık	aksaklık	0.75
adaklık	alçaklık	0.75
adaklık	ataklık	0.8571428571428572
adaklık	ayaklık	0.8571428571428572
adaklık	aylaklık	0.75
adaklık	bacaklık	0.75
adaklık	bataklık	0.75
adaklık	dayaklık	0.75
adaklık	kabaklık	0.75
adaklık	kapaklık	0.75
adaklık	kavaklık	0.75
adaklık	kazaklık	0.75
adaklık	nadanlık	0.75
adaklık	salaklık	0.75
adaklık	sapaklık	0.75
adaklık	tabaklık	0.75
adaklık	yataklık	0.75
adaklık	çanaklık	0.75
adalet	adavet	0.8333333333333334
adalet	adâlet	0.8333333333333334
adalet	asalet	0.8333333333333334
adalet	atalet	0.8333333333333334
adalet	sandalet	0.75
adaletlilik	adaletsizlik	0.8333333333333334
adaletlilik	faziletlilik	0.75
adaletlilik	maharetlilik	0.75
adaletsizlik	idaresizlik	0.75
adaletsizlik	riayetsizlik	0.75
adaletsizlik	sadakatsizlik	0.7692307692307692
adamcık	adamlık	0.8571428571428572
adamlık	adaylık	0.8571428571428572
adamlık	adaşlık	0.8571428571428572
adamlık	hahamlık	0.75
adamlık	hamamlık	0.75
adamlık	nadanlık	0.75
adamlık	saydamlık	0.7777777777777778
adamotu	hamamotu	0.75
adamsendeci	adamsendecilik	0.7857142857142857
adanalı	badanacı	0.75
adaylık	adaşlık	0.8571428571428572
adaylık	albaylık	0.75
adaylık	nadanlık	0.75
adaylık	yapaylık	0.75
adaşlık	apaşlık	0.8571428571428572
