w1	w2	over_ft23
aalborg	alborg	0.9230769276618958
abampere	ampere	0.9230769276618958
abandon	abandonment	0.8666666746139526
abarticulation	particularisation	0.75
abarticulation	particularization	0.75
abarticulation	reticulation	0.75
abarticulation	ablation	0.8235294222831726
abarticulation	articulatio	0.8636363744735718
abarticulation	articulation	0.9583333134651184
abasement	casement	0.7647058963775635
abasement	easement	0.7647058963775635
abasement	debasement	0.7894737124443054
abasement	basement	0.8823529481887817
abatis	abattis	0.9230769276618958
abator	abbreviator	0.7692307829856873
abator	abdicator	0.7692307829856873
abator	abnegator	0.7692307829856873
abator	abominator	0.7692307829856873
abator	abrogator	0.7692307829856873
abbess	crabbedness	0.7692307829856873
abbreviation	deviation	0.7894737124443054
abbreviation	aviation	0.8235294222831726
abbreviator	aviator	0.800000011920929
abcoulomb	coulomb	0.8666666746139526
abdication	adjudication	0.761904776096344
abdication	cation	0.8461538553237915
abdominocentesis	centesis	0.8823529481887817
abdominoplasty	aminoplast	0.761904776096344
abdominousness	luminousness	0.7599999904632568
abducens	abducent	0.7647058963775635
abduction	action	0.7692307829856873
abduction	subduction	0.7894737124443054
abduction	auction	0.800000011920929
abelmoschus	abelmosk	0.7647058963775635
abelmoschus	moschus	0.8666666746139526
abenaki	abnaki	0.7692307829856873
aberrance	aberrant	0.7647058963775635
aberrance	aberrancy	0.7894737124443054
aberrancy	aberrant	0.7647058963775635
aberrancy	errancy	0.8666666746139526
aberration	aeration	0.7647058963775635
aberration	serration	0.7894737124443054
aberration	ration	0.8461538553237915
abetalipoproteinemia	hypolipoproteinemia	0.7631579041481018
abetalipoproteinemia	anemia	0.7692307829856873
abetalipoproteinemia	hypoproteinemia	0.8064516186714172
abetalipoproteinemia	lipoprotein	0.8260869383811951
abetalipoproteinemia	hyperbetalipoproteinemia	0.9024389982223511
abetalipoproteinemia	hypobetalipoproteinemia	0.9024389982223511
abetter	better	0.8461538553237915
abettor	bettor	0.8461538553237915
abhorrence	abhorrer	0.7647058963775635
abience	ambience	0.800000011920929
ability	accessibility	0.800000011920929
ability	admissibility	0.800000011920929
ability	audibility	0.800000011920929
ability	believability	0.8666666746139526
ability	bendability	0.8666666746139526
ability	breakability	0.8666666746139526
ability	burnability	0.8666666746139526
ability	capability	0.8666666746139526
ability	changeability	0.8666666746139526
ability	commutability	0.8666666746139526
ability	companionability	0.8666666746139526
ability	comparability	0.8666666746139526
ability	conceivability	0.8666666746139526
ability	culpability	0.8666666746139526
ability	curability	0.8666666746139526
ability	delectability	0.8666666746139526
ability	demonstrability	0.8666666746139526
ability	dependability	0.8666666746139526
ability	desirability	0.8666666746139526
ability	despicability	0.8666666746139526
ability	disability	0.8666666746139526
ability	discernability	0.8666666746139526
ability	dispensability	0.8666666746139526
ability	disreputability	0.8666666746139526
ability	duplicability	0.8666666746139526
ability	durability	0.8666666746139526
ability	equatability	0.8666666746139526
ability	exchangeability	0.8666666746139526
ability	excitability	0.8666666746139526
ability	executability	0.8666666746139526
ability	fatigability	0.8666666746139526
ability	flammability	0.8666666746139526
ability	formidability	0.8666666746139526
ability	friability	0.8666666746139526
ability	habitability	0.8666666746139526
ability	immovability	0.8666666746139526
ability	immutability	0.8666666746139526
ability	impalpability	0.8666666746139526
ability	impeachability	0.8666666746139526
ability	impeccability	0.8666666746139526
