w1	w2	editsim	isrelated
abasement	casement	0.7777777777777778	0.0
abdication	claudication	0.75	0.0
abduction	abjection	0.7777777777777778	0.0
abelia	abulia	0.8333333333333334	0.0
abelia	amelia	0.8333333333333334	0.0
abolitionism	abortionist	0.75	0.0
abulia	apulia	0.8333333333333334	0.0
academia	acidemia	0.875	0.0
academia	macadamia	0.7777777777777778	0.0
acadia	acedia	0.8333333333333334	0.0
acarus	icarus	0.8333333333333334	0.0
acatalectic	cataleptic	0.8181818181818181	0.0
acataphasia	cataplasia	0.8181818181818181	0.0
accidence	incidence	0.7777777777777778	0.0
accouterment	accruement	0.75	0.0
accoutrement	accruement	0.75	0.0
achillea	achilles	0.875	0.0
achillea	chiller	0.75	0.0
achilles	chiller	0.75	0.0
achilles	schiller	0.75	0.0
aching	ranching	0.75	0.0
acidulousness	assiduousness	0.7692307692307692	0.0
acidulousness	sedulousness	0.7692307692307692	0.0
acrimony	agrimony	0.875	0.0
acrobatics	macrobiotics	0.75	0.0
activase	activism	0.75	0.0
acular	ocular	0.8333333333333334	0.0
adapter	cadaster	0.75	0.0
adelaide	adelgid	0.75	0.0
adelaide	adelgidae	0.7777777777777778	0.0
adelaide	adelie	0.75	0.0
adermin	andelmin	0.75	0.0
adjudication	claudication	0.75	0.0
adulation	ambulation	0.8	0.0
adulation	canulation	0.8	0.0
adulation	maculation	0.8	0.0
adventure	denture	0.7777777777777778	0.0
aeolis	aeolus	0.8333333333333334	0.0
aeolus	alveolus	0.75	0.0
aether	anther	0.8333333333333334	0.0
aether	tether	0.8333333333333334	0.0
aether	wether	0.8333333333333334	0.0
afferent	affront	0.75	0.0
afferent	referent	0.75	0.0
affusion	allusion	0.75	0.0
affusion	suffusion	0.7777777777777778	0.0
agdestis	agdistis	0.875	0.0
agdistis	agrostis	0.75	0.0
agitprop	pitprop	0.75	0.0
agnathan	agnation	0.75	0.0
agraphia	agrypnia	0.75	0.0
agraphia	graphic	0.75	0.0
agricola	arvicola	0.75	0.0
agrimonia	agromania	0.7777777777777778	0.0
agromania	romania	0.7777777777777778	0.0
ahriman	harriman	0.75	0.0
aigina	angina	0.8333333333333334	0.0
aimlessness	windlessness	0.75	0.0
airfare	haircare	0.75	0.0
airliner	berliner	0.75	0.0
airmail	hairtail	0.75	0.0
airstream	hairstreak	0.8	0.0
alabama	balarama	0.75	0.0
aladdin	cladding	0.75	0.0
alarmism	altruism	0.75	0.0
albinism	alpinism	0.875	0.0
alderfly	elderly	0.75	0.0
alexandria	alexandrine	0.8181818181818181	0.0
alexandrian	alexandrine	0.8181818181818181	0.0
alexandrine	alexandrite	0.9090909090909091	0.0
algebra	palpebra	0.75	0.0
algeria	galleria	0.75	0.0
algorism	algorithm	0.7777777777777778	0.0
allamanda	allemande	0.7777777777777778	0.0
allantois	atlantis	0.7777777777777778	0.0
alliteration	altercation	0.75	0.0
alliteration	alternation	0.75	0.0
allograft	allograph	0.7777777777777778	0.0
allopathy	allopatry	0.8888888888888888	0.0
allspice	auspice	0.75	0.0
allusiveness	exclusiveness	0.7692307692307692	0.0
almanac	armagnac	0.75	0.0
almighty	blighty	0.75	0.0
alpinism	calvinism	0.7777777777777778	0.0
amarelle	amarillo	0.75	0.0
amaretto	lazaretto	0.7777777777777778	0.0
amarillo	armadillo	0.7777777777777778	0.0
amarillo	camarilla	0.7777777777777778	0.0
amarillo	tamarillo	0.8888888888888888	0.0
ambulance	imbalance	0.7777777777777778	0.0
amelia	camelia	0.8571428571428572	0.0
amelia	camellia	0.75	0.0
amelia	hamelia	0.8571428571428572	0.0
amenia	armenia	0.8571428571428572	0.0
ammonium	harmonium	0.7777777777777778	0.0
amphora	anaphora	0.75	0.0
analects	anklets	0.75	0.0
anastalsis	anastylosis	0.8181818181818181	0.0
anatolian	anatotitan	0.8	0.0
andrenid	android	0.75	0.0
android	cancroid	0.75	0.0
anecdote	antidote	0.75	0.0
aneroid	cancroid	0.75	0.0
angelica	anglia	0.75	0.0
anglian	ganglion	0.75	0.0
angling	haggling	0.75	0.0
angling	paneling	0.75	0.0
angling	ringling	0.75	0.0
angling	wangling	0.875	0.0
angling	wrangling	0.7777777777777778	0.0
anionic	avionics	0.75	0.0
anklet	auklet	0.8333333333333334	0.0
anointment	ointment	0.8	0.0
anopheline	nepheline	0.8	0.0
antelope	antipope	0.75	0.0
antelope	asterope	0.75	0.0
antelope	envelope	0.75	0.0
anterior	anteroom	0.75	0.0
anthemis	artemis	0.75	0.0
anthemis	themis	0.75	0.0
anther	antihero	0.75	0.0
antidote	antigone	0.75	0.0
antifeminist	antisemitism	0.75	0.0
antigone	antigonus	0.7777777777777778	0.0
antigone	antipope	0.75	0.0
antihero	antivert	0.75	0.0
antimony	antony	0.75	0.0
antimuon	antiphon	0.75	0.0
antiphrasis	antipyresis	0.8181818181818181	0.0
antony	antonym	0.8571428571428572	0.0
antony	antonymy	0.75	0.0
antrum	tantrum	0.8571428571428572	0.0
apadana	aspadana	0.875	0.0
aphesis	lachesis	0.75	0.0
aquatint	aquavit	0.75	0.0
aquatint	squatina	0.75	0.0
arales	arbalest	0.75	0.0
archery	hatchery	0.75	0.0
arctotis	artois	0.75	0.0
arcturus	necturus	0.75	0.0
arcturus	triturus	0.75	0.0
arginine	argonne	0.75	0.0
aricara	marinara	0.75	0.0
arikara	harikari	0.75	0.0
arikara	marinara	0.75	0.0
arlington	darlingtonia	0.75	0.0
arlington	ellington	0.7777777777777778	0.0
arlington	orpington	0.7777777777777778	0.0
armature	palmature	0.7777777777777778	0.0
armenia	armeria	0.8571428571428572	0.0
armenia	gardenia	0.75	0.0
armenia	parmelia	0.75	0.0
arrack	barrack	0.8571428571428572	0.0
arrack	carrack	0.8571428571428572	0.0
artifice	orifice	0.75	0.0
artistry	baptistry	0.7777777777777778	0.0
artwork	wartwort	0.75	0.0
ascaphus	scyphus	0.75	0.0
asclepiad	asclepius	0.7777777777777778	0.0
aspirate	pirate	0.75	0.0
assent	massenet	0.75	0.0
astana	castanea	0.75	0.0
asterion	asterisk	0.75	0.0
asthenia	athena	0.75	0.0
asthenia	esthonia	0.75	0.0
astilbe	pastille	0.75	0.0
astrocyte	gastrocybe	0.8	0.0
astrodome	astroloma	0.7777777777777778	0.0
astrology	astroloma	0.7777777777777778	0.0
astroloma	astronomy	0.7777777777777778	0.0
atavism	patavium	0.75	0.0
atomisation	factorisation	0.7692307692307692	0.0
atomization	factorization	0.7692307692307692	0.0
atonement	tenement	0.7777777777777778	0.0
atonia	bartonia	0.75	0.0
attainder	attender	0.7777777777777778	0.0
