w1	w2	editsim	isrelated
abacılık	ablacılık	0.8888888888888888	0.0
aberasyon	iterasyon	0.7777777777777778	0.0
aberasyon	operasyon	0.7777777777777778	0.0
ablacılık	alacalık	0.7777777777777778	0.0
ablacılık	ambalajcılık	0.75	0.0
ablacılık	arpacılık	0.7777777777777778	0.0
ablacılık	atacılık	0.7777777777777778	0.0
ablacılık	aynacılık	0.7777777777777778	0.0
ablacılık	açmacılık	0.7777777777777778	0.0
ablacılık	babacılık	0.7777777777777778	0.0
ablacılık	cilacılık	0.7777777777777778	0.0
ablacılık	kabalacılık	0.8181818181818181	0.0
ablacılık	kolacılık	0.7777777777777778	0.0
ablacılık	tabelacılık	0.8181818181818181	0.0
ablacılık	taklacılık	0.8	0.0
abukluk	kavukluk	0.75	0.0
acılık	falcılık	0.75	0.0
acınma	aşınma	0.8333333333333334	0.0
afakilik	makilik	0.75	0.0
afişleme	ateşleme	0.75	0.0
afişleme	dişleme	0.75	0.0
ajanlık	kağanlık	0.75	0.0
ajanlık	samanlık	0.75	0.0
akbalık	baklalık	0.75	0.0
akbalık	yakmalık	0.75	0.0
akkarıncalar	atkaracalar	0.75	0.0
aklanma	aşılanma	0.75	0.0
akliyat	bakliyat	0.875	0.0
akliyecilik	tasfiyecilik	0.75	0.0
akrilik	aktiflik	0.75	0.0
akrilik	asrilik	0.8571428571428572	0.0
akrilik	bekrilik	0.75	0.0
akrilik	nakşilik	0.75	0.0
aksona	aksuna	0.8333333333333334	0.0
aksırık	saksılık	0.75	0.0
aktarlık	karlık	0.75	0.0
aktarlık	mantarlık	0.7777777777777778	0.0
aktarma	kantarma	0.75	0.0
akşınlık	alınlık	0.75	0.0
alabalık	altbaşlık	0.7777777777777778	0.0
alabalık	lalalık	0.75	0.0
alabalık	salatalık	0.7777777777777778	0.0
alabalık	yalakalık	0.7777777777777778	0.0
alabama	alalama	0.8571428571428572	0.0
alabama	alazlama	0.75	0.0
alacak	çalacak	0.8571428571428572	0.0
alacakarga	alacakaya	0.8	0.0
alamana	flamanca	0.75	0.0
alaşım	paylaşım	0.75	0.0
alaşım	ulaşım	0.8333333333333334	0.0
albastı	aybastı	0.8571428571428572	0.0
albatr	albatros	0.75	0.0
alimlik	kalemlik	0.75	0.0
alkaevli	alkali	0.75	0.0
alkarna	balkarca	0.75	0.0
alkarna	malkarca	0.75	0.0
almazlık	elmalık	0.75	0.0
alınlık	kalınlık	0.875	0.0
alınma	aşınma	0.8333333333333334	0.0
alınma	kalkınma	0.75	0.0
alınış	aşınış	0.8333333333333334	0.0
alırlık	çayırlık	0.75	0.0
alışma	atışma	0.8333333333333334	0.0
alışma	kalkışma	0.75	0.0
amasyalı	mayalı	0.75	0.0
amaçlama	ağaçlaşma	0.7777777777777778	0.0
ambiyans	ambulans	0.75	0.0
anadolulu	anaokulu	0.7777777777777778	0.0
anafora	matafora	0.75	0.0
anahtarlık	zanaatkarlık	0.75	0.0
analist	kabalist	0.75	0.0
andırın	andırış	0.8571428571428572	0.0
anlaşma	bazlaşma	0.75	0.0
antakya	fantazya	0.75	0.0
antalya	fantazya	0.75	0.0
antant	lantanit	0.75	0.0
anterlin	sterlin	0.75	0.0
antidot	antrikot	0.75	0.0
antikor	antrikot	0.75	0.0
antrakt	antrasit	0.75	0.0
anutluk	barutluk	0.75	0.0
anılaşma	aşılanma	0.75	0.0
anılaşma	katılaşma	0.7777777777777778	0.0
anılık	anızlık	0.8571428571428572	0.0
anızlık	cansızlık	0.7777777777777778	0.0
anızlık	kabızlık	0.75	0.0
anızlık	kanıklık	0.75	0.0
anızlık	tanıklık	0.75	0.0
anızlık	tanımlık	0.75	0.0
anızlık	yalnızlık	0.7777777777777778	0.0
anızlık	yansızlık	0.7777777777777778	0.0
apartman	departman	0.7777777777777778	0.0
apaşlık	apışlık	0.8571428571428572	0.0
arabizasyon	kanalizasyon	0.75	0.0
aragonit	argonot	0.75	0.0
arakesit	trakeit	0.75	0.0
arakiye	faraziye	0.75	0.0
arakçılık	kavakçılık	0.8	0.0
arantı	tarantı	0.8571428571428572	0.0
arasöz	arazöz	0.8333333333333334	0.0
araştırman	yaraştırma	0.8	0.0
ardeşen	kardelen	0.75	0.0
ardeşen	kurdeşen	0.75	0.0
armador	armadura	0.75	0.0
armudiye	cumudiye	0.75	0.0
armudiye	cümudiye	0.75	0.0
artırma	kaptırma	0.75	0.0
artırma	pastırma	0.75	0.0
artırma	saptırma	0.75	0.0
arıcılık	sarıcalık	0.7777777777777778	0.0
arıklık	yarışlık	0.75	0.0
arılama	aşılanma	0.75	0.0
arılanma	aşılanma	0.875	0.0
arılaşma	aşılanma	0.75	0.0
arılaştırma	sıvılaştırma	0.75	0.0
arınma	aşınma	0.8333333333333334	0.0
arınma	karınma	0.8571428571428572	0.0
asidifikasyon	kodifikasyon	0.7692307692307692	0.0
astronom	gastronomi	0.8	0.0
astronomi	gastronom	0.7777777777777778	0.0
asuman	pansuman	0.75	0.0
asılanma	aşılanma	0.875	0.0
asıltı	ayıltı	0.8333333333333334	0.0
ataklık	bacaklık	0.75	0.0
ataklık	çatallık	0.75	0.0
atalık	baltalık	0.75	0.0
atalık	çatallık	0.75	0.0
ateşleme	beşleme	0.75	0.0
ateşleme	öteleme	0.75	0.0
ateşlik	işteşlik	0.75	0.0
atiklik	patriklik	0.7777777777777778	0.0
atlanta	atlantik	0.75	0.0
atraksiyon	traksiyon	0.9	0.0
atçılık	çatkılık	0.75	0.0
atımlık	lazımlık	0.75	0.0
avadanlık	nadanlık	0.7777777777777778	0.0
avcılık	falcılık	0.75	0.0
avrovil	lavrovit	0.75	0.0
avuntu	savruntu	0.75	0.0
ayakbastı	aybastı	0.7777777777777778	0.0
ayaklık	manyaklık	0.7777777777777778	0.0
ayaklık	oynaklık	0.75	0.0
ayartma	ayırtman	0.75	0.0
aylaklık	ayvalık	0.75	0.0
aylaklık	bayraklık	0.7777777777777778	0.0
aylaklık	kulaklık	0.75	0.0
aynalık	ayvalık	0.8571428571428572	0.0
ayrıcalık	sarıcalık	0.7777777777777778	0.0
ayrışma	bağrışma	0.75	0.0
ayvacık	ayvazlık	0.75	0.0
ayvalık	ayvazlık	0.875	0.0
ayvalık	ayyarlık	0.75	0.0
ayvalık	ayyaşlık	0.75	0.0
ayvalık	haytalık	0.75	0.0
ayyarlık	baytarlık	0.7777777777777778	0.0
ayılık	çayırlık	0.75	0.0
ayırıcı	caydırıcı	0.7777777777777778	0.0
azdırma	bandırma	0.75	0.0
azınlık	lazımlık	0.75	0.0
açınma	aşınma	0.8333333333333334	0.0
ağalık	kağanlık	0.75	0.0
ağdalık	çağdaşlık	0.7777777777777778	0.0
ağlaşma	bazlaşma	0.75	0.0
ağnamcı	sağlamcı	0.75	0.0
ağızlık	kabızlık	0.75	0.0
aşıklık	sapıklık	0.75	0.0
aşılanma	ışıklanma	0.7777777777777778	0.0
aşılanma	ışılama	0.75	0.0
aşılanma	ışılatma	0.75	0.0
aşıntı	kaşıntı	0.8571428571428572	0.0
aşıntı	ışıntı	0.8333333333333334	0.0
aşırmacı	taşımacı	0.75	0.0
babaeski	babaevi	0.75	0.0
babilik	bazilika	0.75	0.0
bacaklık	bakanlık	0.75	0.0
bacaklık	basıklık	0.75	0.0
bacaklık	bayatlık	0.75	0.0
bacaklık	başakçık	0.75	0.0
bacaklık	başatlık	0.75	0.0
bacaklık	bunaklık	0.75	0.0
bacaklık	kabaklık	0.75	0.0
bacaklık	kazaklık	0.75	0.0
bacaklık	salaklık	0.75	0.0
bacaklık	sapaklık	0.75	0.0
bacanak	bağlanak	0.75	0.0
badana	kadana	0.8333333333333334	0.0
bademlik	baletlik	0.75	0.0
bademlik	hademelik	0.7777777777777778	0.0
bahailik	bahçelik	0.75	0.0
bahçecilik	sahtecilik	0.8	0.0
bahçelik	kahpelik	0.75	0.0
bakanak	bağlanak	0.75	0.0
bakanlık	baklalık	0.75	0.0
bakara	makara	0.8333333333333334	0.0
bakkaliye	başkafiye	0.7777777777777778	0.0
bakkallık	baklalık	0.7777777777777778	0.0
bakkallık	balkanlık	0.7777777777777778	0.0
baklalık	baylanlık	0.7777777777777778	0.0
baklalık	başkalık	0.75	0.0
baklalık	fazlalık	0.75	0.0
baklalık	halalık	0.75	0.0
baklalık	kuklalık	0.75	0.0
baklalık	lalalık	0.75	0.0
baklalık	sakalık	0.75	0.0
bakliyat	başfiyat	0.75	0.0
bakliyat	nakliyat	0.875	0.0
bakımlık	baskınlık	0.7777777777777778	0.0
bakımlık	basıklık	0.75	0.0
bakımlık	batkınlık	0.7777777777777778	0.0
bakımlık	satımlık	0.75	0.0
bakımlık	tanımlık	0.75	0.0
bakınma	kalkınma	0.75	0.0
bakıntı	baskıncı	0.75	0.0
bakıntı	kakıntı	0.8571428571428572	0.0
balama	bazlama	0.8571428571428572	0.0
balama	bazlamaç	0.75	0.0
balama	bazlaşma	0.75	0.0
balama	bağlama	0.8571428571428572	0.0
balcılık	baskılık	0.75	0.0
balcılık	çaltılık	0.75	0.0
balcılık	çalılık	0.75	0.0
baldır	balkır	0.8333333333333334	0.0
baldırak	baldırgan	0.7777777777777778	0.0
baldırak	balsıra	0.75	0.0
baldırak	bandıra	0.75	0.0
baldırak	bastırak	0.75	0.0
baldırak	kaldıraç	0.75	0.0
baldırak	çaldıran	0.75	0.0
baldıranlık	saldırganlık	0.8333333333333334	0.0
baldıranlık	saldırmazlık	0.75	0.0
baletlik	bileklik	0.75	0.0
baletlik	kalemlik	0.75	0.0
baletlik	lalelik	0.75	0.0
balkanlık	batkınlık	0.7777777777777778	0.0
baltalık	başkalık	0.75	0.0
baltalık	halalık	0.75	0.0
baltalık	kalfalık	0.75	0.0
baltalık	lalalık	0.75	0.0
baltalık	yaltaklık	0.7777777777777778	0.0
balyalık	palalık	0.75	0.0
bandıra	kandırma	0.75	0.0
bandırma	kaldırma	0.75	0.0
bandırma	kandırma	0.875	0.0
bandırma	uyandırma	0.7777777777777778	0.0
baraka	barbakan	0.75	0.0
barbakan	başbayan	0.75	0.0
barbarlık	baytarlık	0.7777777777777778	0.0
barcılık	baskılık	0.75	0.0
barcılık	kargılık	0.75	0.0
bardacık	vardacı	0.75	0.0
barikat	tahrikat	0.75	0.0
barmenlik	yarenlik	0.7777777777777778	0.0
barograf	paragraf	0.75	0.0
baronluk	barutluk	0.75	0.0
baronluk	burunluk	0.75	0.0
baronluk	patronluk	0.7777777777777778	0.0
barutluk	baturluk	0.75	0.0
barutluk	burukluk	0.75	0.0
barutluk	hasutluk	0.75	0.0
barınma	karınma	0.8571428571428572	0.0
baskılık	batkınlık	0.7777777777777778	0.0
baskılık	baççılık	0.75	0.0
baskılık	bağcılık	0.75	0.0
bastika	mastika	0.8571428571428572	0.0
baston	boston	0.8333333333333334	0.0
bastırım	batırık	0.75	0.0
basıla	hasıla	0.8333333333333334	0.0
basınç	kasınç	0.8333333333333334	0.0
batakçı	yatakçı	0.8571428571428572	0.0
baterist	laterit	0.75	0.0
batkınlık	çatkılık	0.7777777777777778	0.0
batman	vatman	0.8333333333333334	0.0
batmanlı	katmalı	0.75	0.0
batolit	statolit	0.75	0.0
battaniye	batıniye	0.7777777777777778	0.0
baturluk	buhurluk	0.75	0.0
batırık	natırlık	0.75	0.0
bayağılık	bukağılık	0.7777777777777778	0.0
bayilik	bazilika	0.75	0.0
baylanlık	çaydanlık	0.7777777777777778	0.0
bayram	bayramiç	0.75	0.0
bayramlaşma	bayrampaşa	0.8181818181818181	0.0
bazilika	gazilik	0.75	0.0
bazlama	bağlanma	0.75	0.0
bazlama	bağlaşma	0.75	0.0
bazlama	nazlanma	0.75	0.0
bazlaşma	bağdaşma	0.75	0.0
bazlaşma	bağlaşma	0.875	0.0
bazlaşma	bozlama	0.75	0.0
bazlaşma	bulaşma	0.75	0.0
bazlaşma	dalaşma	0.75	0.0
bazlaşma	gazlama	0.75	0.0
bazlaşma	nazlanma	0.75	0.0
bazlaşma	tozlaşma	0.75	0.0
bazlaşma	uzlaşma	0.75	0.0
bazlaşma	yaklaşma	0.75	0.0
bazlaşma	yozlaşma	0.75	0.0
bağcılık	dağcılık	0.875	0.0
bağcılık	falcılık	0.75	0.0
bağlayış	çağlayık	0.75	0.0
bağlaşma	buğulaşma	0.7777777777777778	0.0
bağlık	sağlık	0.8333333333333334	0.0
bağımsızlık	yağışsızlık	0.8181818181818181	0.0
başaltı	boşaltış	0.75	0.0
başkale	başkalık	0.75	0.0
başkale	başmakale	0.7777777777777778	0.0
başlama	haşlama	0.8571428571428572	0.0
bedbinlik	benzinlik	0.7777777777777778	0.0
bedevilik	medenilik	0.7777777777777778	0.0
bedirik	ebedilik	0.75	0.0
beklenmezlik	beslemelik	0.75	0.0
beklenti	beslengi	0.75	0.0
bekletme	belleme	0.75	0.0
bekletme	belletmen	0.7777777777777778	0.0
belginlik	bilgilik	0.7777777777777778	0.0
belirleme	belleme	0.7777777777777778	0.0
belirme	yeldirme	0.75	0.0
belirtme	seğirtme	0.75	0.0
beliye	bevliye	0.8571428571428572	0.0
belleme	beşleme	0.8571428571428572	0.0
bengilik	bilgilik	0.75	0.0
beniçinci	benzinci	0.7777777777777778	0.0
benzeşlik	benzinlik	0.7777777777777778	0.0
benzinlik	bezginlik	0.7777777777777778	0.0
benzinlik	enginlik	0.7777777777777778	0.0
benzinlik	zenginlik	0.7777777777777778	0.0
berberlik	biberlik	0.7777777777777778	0.0
berberlik	mermerlik	0.7777777777777778	0.0
berdel	gerdel	0.8333333333333334	0.0
beriberi	periferi	0.75	0.0
besicilik	sevicilik	0.7777777777777778	0.0
beslengi	fesrengi	0.75	0.0
beslenme	evlenme	0.75	0.0
bevliye	tevliyet	0.75	0.0
beygirci	seyirci	0.75	0.0
biberlik	liderlik	0.75	0.0
biberlik	çizerlik	0.75	0.0
bibilik	bilgilik	0.75	0.0
bibilik	cibinlik	0.75	0.0
bileklik	dilleklik	0.7777777777777778	0.0
bileyici	izleyici	0.75	0.0
bileşke	birleşme	0.75	0.0
bilgilik	bircilik	0.75	0.0
bilgilik	dilcilik	0.75	0.0
