w1	w2	editsim	wn_lch
abasement	casement	0.7777777777777778	0.1905514124267734
abdication	claudication	0.75	0.22112818235779563
abduction	abjection	0.7777777777777778	0.2377943502929065
abelia	amelia	0.8333333333333334	0.20541490126145234
abelia	abulia	0.8333333333333334	0.22112818235779563
abolitionism	abortionist	0.75	0.22112818235779563
abulia	apulia	0.8333333333333334	0.2377943502929065
academia	acidemia	0.875	0.2377943502929065
academia	macadamia	0.7777777777777778	0.1905514124267734
acadia	acedia	0.8333333333333334	0.22112818235779563
acarus	icarus	0.8333333333333334	0.15024900644805075
acatalectic	cataleptic	0.8181818181818181	0.22112818235779563
acataphasia	cataplasia	0.8181818181818181	0.2377943502929065
accidence	incidence	0.7777777777777778	0.22112818235779563
accouterment	accruement	0.75	0.22112818235779563
accoutrement	accruement	0.75	0.22112818235779563
achillea	achilles	0.875	0.1905514124267734
achillea	chiller	0.75	0.17645049711225924
achilles	chiller	0.75	0.2377943502929065
achilles	schiller	0.75	0.2377943502929065
aching	ranching	0.75	0.22112818235779563
acidulousness	assiduousness	0.7692307692307692	0.2377943502929065
acidulousness	sedulousness	0.7692307692307692	0.2377943502929065
acrimony	agrimony	0.875	0.22112818235779563
acrobatics	macrobiotics	0.75	0.22112818235779563
activase	activism	0.75	0.20541490126145234
acular	ocular	0.8333333333333334	0.2377943502929065
adapter	cadaster	0.75	0.2377943502929065
adelaide	adelgidae	0.7777777777777778	0.20541490126145234
adelaide	adelie	0.75	0.16303771126278205
adelaide	adelgid	0.75	0.1905514124267734
adermin	andelmin	0.75	0.20541490126145234
adjudication	claudication	0.75	0.2377943502929065
adulation	ambulation	0.8	0.22112818235779563
adulation	canulation	0.8	0.2377943502929065
adulation	maculation	0.8	0.2377943502929065
adventure	denture	0.7777777777777778	0.22112818235779563
aeolis	aeolus	0.8333333333333334	0.2377943502929065
aeolus	alveolus	0.75	0.20541490126145234
aether	wether	0.8333333333333334	0.12632891956379272
aether	anther	0.8333333333333334	0.2377943502929065
aether	tether	0.8333333333333334	0.2377943502929065
afferent	affront	0.75	0.1905514124267734
afferent	referent	0.75	0.2377943502929065
affusion	suffusion	0.7777777777777778	0.2377943502929065
affusion	allusion	0.75	0.2377943502929065
agdestis	agdistis	0.875	0.20541490126145234
agdistis	agrostis	0.75	0.22112818235779563
agitprop	pitprop	0.75	0.2377943502929065
agnathan	agnation	0.75	0.22112818235779563
agraphia	agrypnia	0.75	0.20541490126145234
agraphia	graphic	0.75	0.20541490126145234
agricola	arvicola	0.75	0.17645049711225924
agrimonia	agromania	0.7777777777777778	0.2377943502929065
agromania	romania	0.7777777777777778	0.2377943502929065
ahriman	harriman	0.75	0.2377943502929065
aigina	angina	0.8333333333333334	0.2377943502929065
aimlessness	windlessness	0.75	0.17645049711225924
airfare	haircare	0.75	0.2377943502929065
airliner	berliner	0.75	0.22112818235779563
airmail	hairtail	0.75	0.16303771126278205
airstream	hairstreak	0.8	0.22112818235779563
alabama	balarama	0.75	0.22112818235779563
aladdin	cladding	0.75	0.22112818235779563
alarmism	altruism	0.75	0.2377943502929065
albinism	alpinism	0.875	0.22112818235779563
alderfly	elderly	0.75	0.22112818235779563
alexandria	alexandrine	0.8181818181818181	0.22112818235779563
alexandrian	alexandrine	0.8181818181818181	0.2377943502929065
alexandrine	alexandrite	0.9090909090909091	0.2377943502929065
algebra	palpebra	0.75	0.17645049711225924
algeria	galleria	0.75	0.22112818235779563
algorism	algorithm	0.7777777777777778	0.2377943502929065
allamanda	allemande	0.7777777777777778	0.20541490126145234
allantois	atlantis	0.7777777777777778	0.20541490126145234
alliteration	altercation	0.75	0.2377943502929065
alliteration	alternation	0.75	0.2377943502929065
allograft	allograph	0.7777777777777778	0.2377943502929065
allopathy	allopatry	0.8888888888888888	0.2377943502929065
allspice	auspice	0.75	0.20541490126145234
allusiveness	exclusiveness	0.7692307692307692	0.20541490126145234
almanac	armagnac	0.75	0.17645049711225924
almighty	blighty	0.75	0.1905514124267734
alpinism	calvinism	0.7777777777777778	0.22112818235779563
amarelle	amarillo	0.75	0.22112818235779563
amaretto	lazaretto	0.7777777777777778	0.2377943502929065
amarillo	tamarillo	0.8888888888888888	0.2377943502929065
amarillo	armadillo	0.7777777777777778	0.20541490126145234
amarillo	camarilla	0.7777777777777778	0.2377943502929065
ambulance	imbalance	0.7777777777777778	0.22112818235779563
amelia	camelia	0.8571428571428572	0.20541490126145234
