w1	w2	editsim	wn_wup
abacılık	ablacılık	0.8888888888888888	0.22222222
aberasyon	iterasyon	0.7777777777777778	0.22222222
aberasyon	operasyon	0.7777777777777778	0.25
ablacılık	alacalık	0.7777777777777778	0.23529412
ablacılık	ambalajcılık	0.75	0.22222222
ablacılık	arpacılık	0.7777777777777778	0.22222222
ablacılık	atacılık	0.7777777777777778	0.23529412
ablacılık	aynacılık	0.7777777777777778	0.22222222
ablacılık	açmacılık	0.7777777777777778	0.21052632
ablacılık	babacılık	0.7777777777777778	0.25
ablacılık	cilacılık	0.7777777777777778	0.21052632
ablacılık	kabalacılık	0.8181818181818181	0.25
ablacılık	kolacılık	0.7777777777777778	0.22222222
ablacılık	tabelacılık	0.8181818181818181	0.22222222
ablacılık	taklacılık	0.8	0.21052632
abukluk	kavukluk	0.75	0.23529412
acılık	falcılık	0.75	0.25
acınma	aşınma	0.8333333333333334	0.21052632
afakilik	makilik	0.75	0.23529412
afişleme	ateşleme	0.75	0.1904762
afişleme	dişleme	0.75	0.23529412
ajanlık	kağanlık	0.75	0.22222222
ajanlık	samanlık	0.75	0.2
akbalık	baklalık	0.75	0.17391305
akbalık	yakmalık	0.75	0.1904762
akkarıncalar	atkaracalar	0.75	0.1904762
aklanma	aşılanma	0.75	0.22222222
akliyat	bakliyat	0.875	0.22222222
akliyecilik	tasfiyecilik	0.75	0.18181819
akrilik	aktiflik	0.75	0.23529412
akrilik	asrilik	0.8571428571428572	0.22222222
akrilik	bekrilik	0.75	0.21052632
akrilik	nakşilik	0.75	0.1904762
aksona	aksuna	0.8333333333333334	0.22222222
aksırık	saksılık	0.75	0.22222222
aktarlık	karlık	0.75	0.22222222
aktarlık	mantarlık	0.7777777777777778	0.22222222
aktarma	kantarma	0.75	0.22222222
akşınlık	alınlık	0.75	0.25
alabalık	altbaşlık	0.7777777777777778	0.25
alabalık	lalalık	0.75	0.25
alabalık	salatalık	0.7777777777777778	0.22222222
alabalık	yalakalık	0.7777777777777778	0.25
alabama	alalama	0.8571428571428572	0.22222222
alabama	alazlama	0.75	0.21052632
alacak	çalacak	0.8571428571428572	0.25
alacakarga	alacakaya	0.8	0.18181819
alamana	flamanca	0.75	0.25
alaşım	paylaşım	0.75	0.25
alaşım	ulaşım	0.8333333333333334	0.25
albastı	aybastı	0.8571428571428572	0.22222222
albatr	albatros	0.75	0.18181819
alimlik	kalemlik	0.75	0.21052632
alkaevli	alkali	0.75	0.25
alkarna	balkarca	0.75	0.1904762
alkarna	malkarca	0.75	0.25
almazlık	elmalık	0.75	0.23529412
alınlık	kalınlık	0.875	0.25
alınma	aşınma	0.8333333333333334	0.22222222
alınma	kalkınma	0.75	0.25
