w1	w2	over_ft23	wn_wup
abacılık	ablacılık	0.8235294222831726	0.22222222
abartı	kabartıcı	0.7692307829856873	0.16
ablacılık	acılık	0.9230769276618958	0.22222222
acılık	başeczacılık	0.8461538553237915	0.21052632
acılık	fırçacılık	0.8461538553237915	0.17391305
acılık	salamuracılık	0.8461538553237915	0.18181819
adlandırma	bandırma	0.7647058963775635	0.25
aklanma	duvaklanma	0.8666666746139526	0.1904762
akliyat	bakliyat	0.8666666746139526	0.22222222
alabalık	lalalık	0.75	0.25
alabama	alalama	0.8333333134651184	0.22222222
alacak	çalacak	0.8461538553237915	0.25
alacalandırma	bandırma	0.7647058963775635	0.22222222
albatr	albatros	0.8461538553237915	0.18181819
aldatmaca	atmaca	0.9230769276618958	0.24
aleladelik	lalelik	0.800000011920929	0.22222222
alimlik	başmuallimlik	0.7857142686843872	0.23529412
alkaevli	alkali	0.8333333134651184	0.25
alçaltıcı	alçıcı	0.7692307829856873	0.2
alınlık	kalınlık	0.8571428656578064	0.25
amorti	amortisör	0.8461538553237915	0.2
anadol	anadoluhisarı	0.8461538553237915	0.18181819
andırı	dalgalandırıcı	0.7692307829856873	0.25
andırı	havalandırıcı	0.7692307829856873	0.21052632
andırı	sulandırıcı	0.7692307829856873	0.23529412
andırın	ayrıntılandırılma	0.800000011920929	0.21052632
ankara	kıçtankara	0.8461538553237915	0.1904762
anlamsızlık	anızlık	0.800000011920929	0.25
anlatımcılık	atımcı	0.7692307829856873	0.21052632
anılık	anızlık	0.7692307829856873	0.25
anızlık	tanısızlık	0.800000011920929	0.22222222
apartman	departman	0.7647058963775635	0.21052632
araban	arabağlantı	0.7692307829856873	0.21052632
araban	arabistan	0.7692307829856873	0.23529412
araban	karasaban	0.7692307829856873	0.2
aracılık	salamuracılık	0.7647058963775635	0.21052632
arantı	tarantı	0.8461538553237915	0.2
artezyen	kartezyenizm	0.7647058963775635	0.23529412
arıcılık	ayartıcılık	0.7647058963775635	0.25
arıcılık	yıldırıcılık	0.7647058963775635	0.25
arınma	karınma	0.8461538553237915	0.22222222
asidifikasyon	kodifikasyon	0.7599999904632568	0.23529412
asilik	asilzadelik	0.9230769276618958	0.23529412
astronom	gastronomi	0.7647058963775635	0.1904762
atacılık	noktacılık	0.7647058963775635	0.23529412
atalık	çatallık	0.7692307829856873	0.22222222
ataman	katamaran	0.7692307829856873	0.18181819
atraksiyon	traksiyon	0.8947368264198303	0.21052632
avadanlık	nadanlık	0.7647058963775635	0.22222222
ayakbastı	aybastı	0.800000011920929	0.23529412
ayazma	azmankaya	0.7692307829856873	0.16666667
ayrıntılandırma	bandırma	0.7647058963775635	0.22222222
ayvalık	ayvazlık	0.800000011920929	0.25
açıklıkölçer	kölçer	0.8461538553237915	0.2
aşıntı	kaşıntı	0.8461538553237915	0.23529412
babacılık	başeczacılık	0.7777777910232544	0.23529412
babayiğitlik	bayilik	0.800000011920929	0.1904762
bakara	baldırıkara	0.7692307829856873	0.16666667
bakara	baraka	0.7692307829856873	0.2
bakara	baştankara	0.7692307829856873	0.25
baklalık	baklavacılık	0.8235294222831726	0.21052632
baklalık	lalalık	0.75	0.22222222
bakliyat	nakliyat	0.7647058963775635	0.1904762
balama	bazlama	0.7692307829856873	0.21052632
balama	bağlama	0.7692307829856873	0.2
